nut_stroke_mm,jaw_closing_angle_deg,dphi_ds_rad_per_mm,dphi_ds_deg_per_mm,d2phi_ds2_rad_per_mm2,d2phi_ds2_deg_per_mm2,jaw_omega_rad_per_s,jaw_omega_deg_per_s,jaw_alpha_rad_per_s2,jaw_alpha_deg_per_s2,joint3_x_mm,joint3_y_mm
5.264000,9.406773,0.035382886,2.027290,0.002052501,0.117600,0.035382886,2.027290,0.002052501,0.117600,-47.632539,28.294384
5.280000,9.439225,0.035415768,2.029174,0.002057769,0.117901,0.035415768,2.029174,0.002057769,0.117901,-47.629668,28.297999
5.296000,9.471707,0.035448735,2.031063,0.002063055,0.118204,0.035448735,2.031063,0.002063055,0.118204,-47.626784,28.301630
5.312000,9.504219,0.035481786,2.032957,0.002068359,0.118508,0.035481786,2.032957,0.002068359,0.118508,-47.623886,28.305278
5.328000,9.536762,0.035514922,2.034855,0.002073681,0.118813,0.035514922,2.034855,0.002073681,0.118813,-47.620974,28.308943
5.344000,9.569334,0.035548144,2.036759,0.002079021,0.119119,0.035548144,2.036759,0.002079021,0.119119,-47.618048,28.312624
5.360000,9.601938,0.035581451,2.038667,0.002084380,0.119426,0.035581451,2.038667,0.002084380,0.119426,-47.615108,28.316322
5.376000,9.634572,0.035614844,2.040580,0.002089757,0.119734,0.035614844,2.040580,0.002089757,0.119734,-47.612154,28.320037
5.392000,9.667236,0.035648323,2.042498,0.002095153,0.120043,0.035648323,2.042498,0.002095153,0.120043,-47.609186,28.323769
5.408000,9.699932,0.035681889,2.044422,0.002100567,0.120354,0.035681889,2.044422,0.002100567,0.120354,-47.606204,28.327517
5.424000,9.732658,0.035715542,2.046350,0.002106001,0.120665,0.035715542,2.046350,0.002106001,0.120665,-47.603208,28.331283
5.440000,9.765415,0.035749281,2.048283,0.002111452,0.120977,0.035749281,2.048283,0.002111452,0.120977,-47.600198,28.335065
5.456000,9.798203,0.035783108,2.050221,0.002116923,0.121291,0.035783108,2.050221,0.002116923,0.121291,-47.597173,28.338865
5.472000,9.831022,0.035817023,2.052164,0.002122413,0.121605,0.035817023,2.052164,0.002122413,0.121605,-47.594135,28.342681
5.488000,9.863872,0.035851025,2.054112,0.002127921,0.121921,0.035851025,2.054112,0.002127921,0.121921,-47.591082,28.346514
5.504000,9.896754,0.035885116,2.056066,0.002133449,0.122238,0.035885116,2.056066,0.002133449,0.122238,-47.588015,28.350365
5.520000,9.929666,0.035919296,2.058024,0.002138996,0.122555,0.035919296,2.058024,0.002138996,0.122555,-47.584933,28.354233
5.536000,9.962610,0.035953564,2.059987,0.002144563,0.122874,0.035953564,2.059987,0.002144563,0.122874,-47.581838,28.358118
5.552000,9.995586,0.035987922,2.061956,0.002150149,0.123194,0.035987922,2.061956,0.002150149,0.123194,-47.578727,28.362020
5.568000,10.028593,0.036022369,2.063930,0.002155754,0.123516,0.036022369,2.063930,0.002155754,0.123516,-47.575603,28.365939
5.584000,10.061632,0.036056906,2.065909,0.002161379,0.123838,0.036056906,2.065909,0.002161379,0.123838,-47.572464,28.369875
